SL,ID,Name,Phone,Email,Logo,Latitude,Longitude,Address,"Footer text","Minimum order",Comission,Status,"Vendor id","Cover photo",TAX,"Zone id","Off day",GST,"Self delivery system","Minimum delivery charge","Delivery time",Veg,"Non Veg","Order count","Total order","Module id","Order place to schedule interval",Featured,"Delivery charge per KM"
1,1,"Organic Shop",01000000000,grocery.store1@demo.com,2022-03-22-62395ac6e1750.png,24.719041927729698,46.760612564885754,"House: 00, Road: 00, City-000, Country",,0,,1,1,2022-03-22-62395ac6e2c0e.png,10,1," ",,0,0,"2-3 hours",0,1,0,0,1,0,0,0
2,2,"Click & Collect",01000000001,pharmacy.store1@demo.com,2022-03-22-62395b3e9222a.png,24.771424018216454,46.70156105121388,"House: 00, Road: 00, City-0000, Country",,0,,0,2,2022-03-22-62395b3e926e7.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,,0,0
3,3,Eorange,02000000002,grocery.store2@demo.com,2022-03-22-62395c60e17e4.png,24.746790093556847,46.72180238130076,"House: 00, Road: 00, City-000, Country",,0,20,1,3,2022-03-22-62395c60e3647.png,10,2," ",,1,0,"20-30 min",1,1,1,4,1,10,0,0
4,4,"Health Life",01000000002,pharmacy.store2@demo.com,2022-03-22-62395cc42eaa0.png,39.30767495900653,-103.28480342717049,"House: 00, Road: 00, City-0000, Country",,0,,1,4,2022-03-22-62395cc4333c7.png,10,1," ",,0,0,"30-40 min",1,1,3,7,2,0,0,0
5,5,"Family supermarket",02000000003,grocery.store3@demo.com,2022-03-22-62395d37212ce.png,26.558691413230427,81.06887096259652,"House: 00, Road: 00, City-000, Country",,0,,1,5,2022-03-22-62395d3724173.png,10,1," ",,0,0,"2-3 hours",1,1,0,0,1,0,0,0
6,6,"Daily Care",01000000003,pharmacy.store3@demo.com,2022-03-22-62395db27613e.png,24.544080324775294,77.32837520981121,"House: 00, Road: 00, City-0000, Country",,0,,1,6,2022-03-22-62395db2886ae.png,10,1," ",,0,0,"30-40 min",1,1,0,1,2,0,1,0
7,7,"Fresh local",02000000004,grocery.store4@demo.com,2022-03-22-62395e74d3a56.png,49.714096771894546,-98.50871330406608,"House: 00, Road: 00, City-000, Country",,0,,1,7,2022-03-22-62395e74eac0c.png,10,1," ",,0,0,"2-3 hours",1,1,0,1,1,0,0,0
8,8,"Clove Pharmacy",01000000004,pharmacy.store4@demo.com,2022-03-22-62395ec819fd5.png,41.727416284334424,-104.01417856100028,"House: 00, Road: 00, City-0000, Country",,0,,1,8,2022-03-22-62395ec81f4e6.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
9,9,"Fresh supermarket",02000000005,grocery.store5@demo.com,2022-03-22-62395f9a68837.png,62.178519943110665,94.49909919593392,"House: 00, Road: 00, City-000, Country",,0,,1,9,2022-03-22-62395f9a6c54b.png,10,1," ",,0,0,"2-3 hours",1,1,1,1,1,0,0,0
10,10,"Drug Store",01000000005,pharmacy.store5@demo.com,2022-03-22-62395fa6064aa.png,40.26832132464282,-81.33982902672233,"House: 00, Road: 00, City-0000, Country",,0,,1,10,2022-03-22-62395fa6091ff.png,10,1," ",,0,0,"30-40 min",1,1,0,0,2,0,0,0
11,11,"Online market",02000000006,grocery.store6@demo.com,2022-03-22-6239604ade310.png,30.131239430259686,66.81355232093392,"House: 00, Road: 00, City-000, Country",,0,,1,11,2022-03-22-6239604adf927.png,10,1," ",,0,0,"2-3 hours",1,1,1,1,1,0,0,0
